IndexDate,Annee,Mois,Jour,Date,VacancesScolaires
689,2018,11,21,2018-11-21,false
690,2018,11,22,2018-11-22,false
691,2018,11,23,2018-11-23,false
692,2018,11,24,2018-11-24,false
693,2018,11,25,2018-11-25,false
694,2018,11,26,2018-11-26,false
695,2018,11,27,2018-11-27,false
696,2018,11,28,2018-11-28,false
697,2018,11,29,2018-11-29,false
698,2018,11,30,2018-11-30,false
699,2018,12,01,2018-12-01,false
700,2018,12,02,2018-12-02,false
701,2018,12,03,2018-12-03,false
702,2018,12,04,2018-12-04,false
703,2018,12,05,2018-12-05,false
704,2018,12,06,2018-12-06,false
705,2018,12,07,2018-12-07,false
706,2018,12,08,2018-12-08,false
707,2018,12,09,2018-12-09,false
708,2018,12,10,2018-12-10,false
709,2018,12,11,2018-12-11,false
710,2018,12,12,2018-12-12,false
711,2018,12,13,2018-12-13,false
712,2018,12,14,2018-12-14,false
713,2018,12,15,2018-12-15,false
714,2018,12,16,2018-12-16,false
715,2018,12,17,2018-12-17,false
716,2018,12,18,2018-12-18,false
717,2018,12,19,2018-12-19,false
718,2018,12,20,2018-12-20,false
719,2018,12,21,2018-12-21,false
720,2018,12,22,2018-12-22,true
721,2018,12,23,2018-12-23,true
722,2018,12,24,2018-12-24,true
723,2018,12,25,2018-12-25,true
724,2018,12,26,2018-12-26,true
725,2018,12,27,2018-12-27,true
726,2018,12,28,2018-12-28,true
727,2018,12,29,2018-12-29,true
728,2018,12,30,2018-12-30,true
729,2018,12,31,2018-12-31,true
